"Date","Price","Open","High","Low","Vol.","Change %"
"09/30/2024","220.89","219.42","221.59","218.58","21.95M","0.25%"
"09/27/2024","220.33","220.86","222.60","219.53","23.96M","0.68%"
"09/26/2024","218.85","220.49","221.13","218.38","24.97M","0.53%"
"09/25/2024","217.69","220.32","220.61","217.54","23.24M","-1.56%"
"09/24/2024","221.13","221.63","221.93","219.50","20.94M","0.17%"
"09/23/2024","220.76","222.69","223.11","220.02","20.16M","-0.37%"
"09/20/2024","221.57","223.45","223.46","221.29","34.59M","-1.07%"
"09/19/2024","223.97","224.66","224.68","221.50","35.37M","2.06%"
"09/18/2024","219.45","219.23","224.94","218.25","54.09M","0.02%"
"09/17/2024","219.41","219.58","221.80","218.47","35.56M","0.83%"
"09/16/2024","217.61","217.63","218.29","216.14","23.29M","0.36%"
"09/13/2024","216.83","214.03","217.25","213.94","37.39M","2.47%"
"09/12/2024","211.61","209.91","212.78","208.41","27.66M","1.29%"
"09/11/2024","208.92","207.47","209.25","204.21","27.18M","0.29%"
"09/10/2024","208.31","208.72","208.86","205.79","23.03M","-0.08%"
"09/09/2024","208.48","208.15","210.26","207.52","23.58M","0.28%"
"09/06/2024","207.90","211.93","213.19","207.14","34.56M","-1.90%"
"09/05/2024","211.93","213.54","214.03","210.92","23.91M","-0.50%"
"09/04/2024","212.99","212.76","215.37","211.70","23.71M","-0.17%"
"09/03/2024","213.35","218.13","219.37","212.91","31.34M","-3.06%"
"08/30/2024","220.08","219.71","220.50","217.40","23.01M","0.58%"
"08/29/2024","218.81","218.78","220.98","217.15","24.60M","0.71%"
"08/28/2024","217.26","217.87","219.12","216.27","19.69M","-0.68%"
"08/27/2024","218.74","218.91","219.37","217.71","19.58M","-0.78%"
"08/26/2024","220.45","221.93","222.45","220.08","24.87M","0.03%"
"08/23/2024","220.38","215.18","221.08","214.79","40.00M","3.19%"
"08/22/2024","213.56","215.57","216.37","213.13","18.08M","-0.88%"
"08/21/2024","215.46","214.28","215.66","212.82","19.62M","1.30%"
"08/20/2024","212.69","214.89","214.95","212.05","21.70M","-1.17%"
"08/19/2024","215.20","212.96","215.21","212.82","17.25M","1.22%"
"08/16/2024","212.60","211.37","213.98","211.28","30.43M","0.26%"
"08/15/2024","212.04","211.26","213.10","209.91","42.56M","2.59%"
"08/14/2024","206.68","208.63","208.75","205.74","25.35M","-0.62%"
"08/13/2024","207.97","206.09","208.38","204.86","25.46M","1.65%"
"08/12/2024","204.60","206.61","206.98","203.82","20.36M","-0.90%"
"08/09/2024","206.46","207.05","207.12","204.94","20.95M","-0.21%"
"08/08/2024","206.89","204.42","207.00","203.17","26.55M","2.43%"
"08/07/2024","201.98","207.85","207.96","201.56","30.59M","-1.18%"
"08/06/2024","204.40","203.01","207.25","201.20","37.07M","1.09%"
"08/05/2024","202.20","197.90","204.74","196.70","65.68M","-3.22%"
"08/02/2024","208.92","208.85","211.19","206.99","66.85M","-3.54%"
"08/01/2024","216.58","223.77","224.89","215.06","71.51M","-3.25%"
"07/31/2024","223.86","223.71","228.63","221.98","52.39M","0.58%"
"07/30/2024","222.57","222.72","224.46","221.11","26.88M","0.38%"
"07/29/2024","221.73","224.71","225.42","220.77","33.87M","-1.11%"
"07/26/2024","224.22","223.90","225.39","221.70","40.82M","1.65%"
"07/25/2024","220.57","218.45","224.02","218.20","45.05M","1.25%"
"07/24/2024","217.85","221.07","223.86","217.71","42.44M","-2.15%"
"07/23/2024","222.63","219.21","223.75","219.04","44.88M","1.06%"
"07/22/2024","220.29","217.68","220.65","215.38","36.19M","1.59%"
"07/19/2024","216.84","217.63","218.65","215.85","37.93M","-0.51%"
"07/18/2024","217.95","221.41","224.78","216.98","53.18M","-1.93%"
"07/17/2024","222.25","222.36","226.64","221.66","66.09M","-1.05%"
"07/16/2024","224.60","219.14","224.86","219.02","67.95M","3.41%"
"07/15/2024","217.19","214.79","218.24","214.30","48.93M","1.90%"
"07/12/2024","213.14","212.92","214.94","212.66","50.81M","1.17%"
"07/11/2024","210.68","207.90","211.23","206.94","65.44M","3.59%"
"07/10/2024","203.37","202.29","203.59","201.49","19.29M","0.98%"
"07/09/2024","201.40","201.92","202.52","200.53","17.92M","-0.44%"
"07/08/2024","202.28","202.51","203.70","201.84","20.82M","0.70%"
"07/05/2024","200.87","201.21","201.63","199.88","17.28M","-0.48%"
"07/03/2024","201.83","202.25","203.28","201.63","15.17M","-0.02%"
"07/02/2024","201.88","201.52","202.27","200.90","17.22M","0.34%"
