"Date","Price","Open","High","Low","Vol.","Change %"
"03/21/2025","278.85","276.41","279.07","275.68","3.38M","0.04%"
"03/20/2025","278.74","277.70","281.20","277.26","2.26M","-0.24%"
"03/19/2025","279.41","277.00","281.38","276.63","2.87M","1.14%"
"03/18/2025","276.27","278.20","278.50","275.33","3.12M","-1.08%"
"03/17/2025","279.28","276.73","280.60","276.68","3.98M","0.83%"
"03/14/2025","276.99","273.60","277.38","273.36","3.61M","2.14%"
"03/13/2025","271.18","274.93","275.00","270.20","3.93M","-1.40%"
"03/12/2025","275.04","276.80","277.29","272.48","4.00M","0.49%"
"03/11/2025","273.69","275.00","277.00","271.58","5.28M","-0.70%"
"03/10/2025","275.62","279.43","280.28","273.14","6.44M","-2.72%"
"03/07/2025","283.34","281.22","284.05","278.11","3.87M","0.47%"
"03/06/2025","282.01","283.53","285.82","280.65","4.84M","-1.86%"
"03/05/2025","287.35","284.08","288.14","282.32","3.66M","1.14%"
"03/04/2025","284.12","285.20","288.45","281.50","6.45M","-1.25%"
"03/03/2025","287.71","293.91","294.72","285.77","7.84M","-1.79%"
"02/28/2025","292.96","288.63","293.21","287.35","3.49M","1.54%"
"02/27/2025","288.51","294.34","294.79","288.40","2.75M","-1.55%"
"02/26/2025","293.05","293.90","295.70","291.87","2.81M","0.03%"
"02/25/2025","292.95","294.40","294.83","290.54","3.51M","-0.50%"
"02/24/2025","294.41","296.96","297.34","293.89","4.47M","-0.51%"
